Keys,Values
Tên TCPH:,"
Ủy Ban Nhân Dân thành phố Đà Nẵng
"
Tên chứng khoán:,Trái phiếu chính quyền địa phương TP. Đà Nẵng năm 2014
Mã chứng khoán:,DNGD14183
Mã ISIN:,VNDNGD141839
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,số 66/2014/GCNTP-VSD do VSD cấp ngày 10/10/2014
Tổng số chứng khoán đăng ký:,11.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.100.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"5,6%/năm"
Cách thức trả lãi:,Tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 13/10 kể từ năm 2015 đến năm đáo hạn. Tiền gốc được thanh toán 1 lần khi đáo hạn
Kỳ hạn:,5 năm
Ngày phát hành:,13/10/2014
Ngày đáo hạn:,13/10/2019
Nơi quản lý tại VSD:,Trụ sở chính
