Keys,Values
Tên TCPH:,"
Công ty cổ phần Logistics Cảng Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Logistics Cảng Đà Nẵng
Mã chứng khoán:,DNL
Mã ISIN:,VN000000DNL8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 37/2011/GCNCP-VSD do VSD cấp lần đầu ngày 25/05/2011, Số 37/2011/GCNCP-VSD - 2 cấp thay đổi lần 2 ngày 11/10/2017"
Tổng số chứng khoán đăng ký:,4.310.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,43.100.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
