Keys,Values
Tên TCPH:,"
Công ty Cổ phần Thương mại Dịch vụ VDA Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Thương mại Dịch vụ VDA Đà Nẵng
Mã chứng khoán:,DNV
Mã ISIN:,VN000000DNV7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 243/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 11/10/2010
Tổng số chứng khoán đăng ký:,8.100.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,81.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
