Keys,Values
Tên TCPH:,"
Công ty cổ phần Vật tư nông nghiệp Đồng Nai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vật tư nông nghiệp Đồng Nai
Mã chứng khoán:,DOC
Mã ISIN:,VN000000DOC5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 134/2016/GCNCP-VSD do VSD cấp lần đầu ngày 31/10/2016
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
