Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư cao su Đắk Lắk
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư cao su Đắk Lắk
Mã chứng khoán:,DRI
Mã ISIN:,VN000000DRI5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 56/2017/GCNCP-VSD do VSD cấp lần đầu ngày 27/02/2017
Tổng số chứng khoán đăng ký:,73.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,732.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
