Keys,Values
Tên TCPH:,"
CTCP Đại Thiên Lộc
"
Tên chứng khoán:,Cổ phiếu  CTCP Đại Thiên Lộc
Mã chứng khoán:,DTL
Mã ISIN:,VN000000DTL5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 123/2010/GCNCP-VSD-3  do TTLKCK Việt Nam cấp lần đầu ngày 27/05/2010 và cấp thay đổi lần 3 ngày 15/05/2014
Tổng số chứng khoán đăng ký:,61.435.604 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,614.356.040.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
