Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ
Mã chứng khoán:,DVP
Mã ISIN:,VN000000DVP2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 105/2009/GCNCP-VSD-1 do TTLKCK Việt Nam cấp lần đầu ngày 20/11/2009, cấp thay đổi lần thứ 1 ngày 26/11/2013"
Tổng số chứng khoán đăng ký:,40.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,400.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
