Keys,Values
Tên TCPH:,"
Công ty Cổ phần Fiditour
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Fiditour
Mã chứng khoán:,FDT
Mã ISIN:,VN000000FDT7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 29/2011/GCNCP-VSD-1 do TTLKCK VN cấp lần đầu ngày 22/04/2011 và cấp thay đổi lần 1 ngày 14/06/2012
Tổng số chứng khoán đăng ký:,3.054.500 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.545.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
