Keys,Values
Tên TCPH:,"
Công ty cổ phần Viễn thông FPT
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Viễn thông FPT
Mã chứng khoán:,FOX
Mã ISIN:,VN000000FOX6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 174/2016/GCNCP-VSD do VSD cấp lần đầu ngày 07/12/2016,Số: 174/2016/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 27/04/2022"
Tổng số chứng khoán đăng ký:,328.339.538 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.283.395.380.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
