Keys,Values
Tên TCPH:,"
Công ty TNHH MTV Quản lý quỹ đầu tư chứng khoán I.P.A
"
Tên chứng khoán:,Chứng chỉ Quỹ ETF IPAAM VN100
Mã chứng khoán:,FUEIP100
Mã ISIN:,VN0FUEIP1007
Loại chứng khoán:,Chứng chỉ Quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,Số:   01/2021/GCNETF-VSD do VSD cấp lần đầu ngày 16/09/2021; Số:   01/2021/GCNETF-VSD-5 cấp thay đổi lần 05 ngày 20/04/2022
Tổng số chứng khoán đăng ký:,5.700.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,57.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
