Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Dệt may Vĩnh Phúc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Dệt may Vĩnh Phúc
Mã chứng khoán:,G20
Mã ISIN:,VN000000G201
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 09/2015/GCNCP-VSD do VSD cấp ngày 28/1/2015, số 09/2015/GCNCP-VSD-2 cấp thay đổi ngày 25/09/2019"
Tổng số chứng khoán đăng ký:,14.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,144.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
