Keys,Values
Tên TCPH:,"
Tổng Công ty khí Việt Nam - Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty khí Việt Nam - Công ty cổ phần
Mã chứng khoán:,GAS
Mã ISIN:,VN000000GAS3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 10/2012/GCNCP-VSD do VSD cấp ngày 25/04/2012, số 10/2012/GCNCP-VSD-01 cấp thay đổi lần 01 ngày 24/02/2016"
Tổng số chứng khoán đăng ký:,1.913.950.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,19.139.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
