Keys,Values
Tên TCPH:,"
Công ty cổ phần Công trình Giao thông Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình Giao thông Hà Nội
Mã chứng khoán:,GH3
Mã ISIN:,VN000000GH33
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 68/2020/GCNCP-VSD do VSD cấp ngày 18/11/2020
Tổng số chứng khoán đăng ký:,11.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,115.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
