Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp thoát nước Gia Lai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp thoát nước Gia Lai
Mã chứng khoán:,GLW
Mã ISIN:,VN000000GLW2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 200/2017/GCNCP-VSD do VSD cấp ngày 19/10/2017, số 200/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 05/06/2018"
Tổng số chứng khoán đăng ký:,18.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,180.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
