Keys,Values
Tên TCPH:,"
Tổng Công ty Xây dựng Công trình Giao thông 6 - Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Xây dựng Công trình Giao thông 6 - Công ty cổ phần
Mã chứng khoán:,GT6
Mã ISIN:,VN000000GT62
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,22/2015/GCNCP-VSD do VSD cấp ngày 20/04/2015 
Tổng số chứng khoán đăng ký:,49.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,492.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
