Keys,Values
Tên TCPH:,"
Công ty Cổ phần chế biến Gỗ Thuận An
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần chế biến Gỗ Thuận An
Mã chứng khoán:,GTA
Mã ISIN:,VN000000GTA1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 42 /2007/GCNCP-CNTTLK do TTLKCK Việt Nam cấp ngày 03/07/2007
Tổng số chứng khoán đăng ký:,10.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,104.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
