Keys,Values
Tên TCPH:,"
Tập  đoàn Công nghiệp Cao su Việt Nam – Công ty cổ  phần
"
Tên chứng khoán:,Cổ phiếu Tập đoàn Công nghiệp Cao su Việt Nam – Công ty cổ phần
Mã chứng khoán:,GVR
Mã ISIN:,VN000000GVR1
Loại chứng khoán:,Cổ phiếu phổ  thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 11CPH/2018/GCNCP-VSD do VSD cấp ngày 12/03/2018, số 77/2018/GCNCP-VSD ngày 11/09/2018"
Tổng số chứng khoán đăng ký:,4.000.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,40.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
