Keys,Values
Tên TCPH:,"
Công ty Cổ phần Xây dựng HUD101
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Xây dựng HUD101
Mã chứng khoán:,H11
Mã ISIN:,VN000000H118
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 297/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 14/12/2010
Tổng số chứng khoán đăng ký:,1.060.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,10.600.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
