Keys,Values
Tên TCPH:,"
Công ty Đầu tư tài chính Nhà nước Tp. Hồ Chí Minh
"
Tên chứng khoán:,Trái phiếu đô thị TP.HCM BLPH đợt 08/2006
Mã chứng khoán:,HCMA0806
Mã ISIN:,VN0HCMA08068
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 16/2006/GCNTP-CNTTLK do VSD cấp ngày 06/09/2006
Tổng số chứng khoán đăng ký:,550.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,55.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,9.25%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,10 năm
Ngày phát hành:,22/08/2006
Ngày đáo hạn:,22/08/2016
Nơi quản lý tại VSD:,Trụ sở chính
