Keys,Values
Tên TCPH:,"
Công ty Đầu tư tài chính Nhà nước Tp. Hồ Chí Minh
"
Tên chứng khoán:,Trái phiếu Công ty đầu tư Tài chính Nhà nước Tp. HCM
Mã chứng khoán:,HCMB12202
Mã ISIN:,VNHCMB122022
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,72/2012/GCNTP-VSD do VSD cấp ngày 16/11/2012
Tổng số chứng khoán đăng ký:,32.500.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,3.250.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,"10,7%/năm"
Cách thức trả lãi:,Lãi trái phiếu được trả sau mỗi năm một lần trùng với ngày phát hành. Gốc trái phiếu được thanh toán một lần bằng mệnh giá khi đến hạn.
Kỳ hạn:,03 năm
Ngày phát hành:,14/11/2012
Ngày đáo hạn:,14/11/2015
Nơi quản lý tại VSD:,Trụ sở chính
