Keys,Values
Tên TCPH:,"
Công ty Đầu tư tài chính Nhà nước Tp. Hồ Chí Minh
"
Tên chứng khoán:,Trái phiếu đô thị TP.HCM đợt 02/2007
Mã chứng khoán:,HCM_0207
Mã ISIN:,VN00HCM02071
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 08/2007/GCNTP-TTLK do CN TTLKCK  tại Tp.HCM cấp ngày 06/07/2007
Tổng số chứng khoán đăng ký:,1.500.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,7.9%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,10 năm
Ngày phát hành:,14/06/2007
Ngày đáo hạn:,14/06/2017
Nơi quản lý tại VSD:,Trụ sở chính
