Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Nhà số 6 Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Nhà số 6 Hà Nội
Mã chứng khoán:,HD6
Mã ISIN:,VN000000HD69
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 59/2017/GCNCP-VSD do VSD cấp lần đầu ngày 01/03/2017
Tổng số chứng khoán đăng ký:,14.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,144.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
