Keys,Values
Tên TCPH:,"
Công ty cổ phần Hãng Sơn Đông Á
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Hãng Sơn Đông Á
Mã chứng khoán:,HDA
Mã ISIN:,VN000000HDA3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 294/2010/GCNCP-VSD do VSD cấp lần đầu ngày 13/12/2010, Số 294/2010/GCNCP-VSD- 3 cấp thay đổi lần thứ 3 ngày 13/05/2022"
Tổng số chứng khoán đăng ký:,23.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,230.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
