Keys,Values
Tên TCPH:,"
CTCP Hưng Đạo Container
"
Tên chứng khoán:,Cổ phiếu CTCP Hưng Đạo Container
Mã chứng khoán:,HDO
Mã ISIN:,VN000000HDO4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 55/2009/GCNCP-VSD do VSD cấp lần đầu ngày 17/09/2009, số 55/2009/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 22/05/2017"
Tổng số chứng khoán đăng ký:,16.959.879 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,169.598.790.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
