Keys,Values
Tên TCPH:,"
Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư Xây dựng Hậu Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư Xây dựng Hậu Giang
Mã chứng khoán:,HGC
Mã ISIN:,VN000000HGC2
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 04/CPH/2020/GCNCP-VSD do VSD cấp ngày 28/02/2020; Số: 37/2021/GCNCP-VSD cấp lại ngày 27/09/2021
Tổng số chứng khoán đăng ký:,496.490 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,4.964.900.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
