Keys,Values
Tên TCPH:,"
Công ty cổ phần Tài Nguyên và Môi trường Hậu Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tài Nguyên và Môi trường Hậu Giang
Mã chứng khoán:,HGR
Mã ISIN:,VN000000HGR0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 06/CPH/2020/GCNCP-VSD do VSD cấp lần đầu ngày 18/06/2020; số 29/2021/GCNCP-VSD do VSD cấp lại ngày 05/08/2021
Tổng số chứng khoán đăng ký:,2.271.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,22.710.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
