Keys,Values
Tên TCPH:,"
Công ty cổ phần Hoàng Hà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Hoàng Hà
Mã chứng khoán:,HHG
Mã ISIN:,VN000000HHG1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 175/2010/GCNCP-VSD do VSD cấp lần đầu ngày 20/07/2010, Số 175/2010/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 25/07/2016"
Tổng số chứng khoán đăng ký:,34.896.354 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,348.963.540.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
