Keys,Values
Tên TCPH:,"
Công ty cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội
Mã chứng khoán:,HHN
Mã ISIN:,VN000000HHN7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 88/2016/GCNCP-VSD do VSD cấp lần đầu ngày 24/08/2016 
Tổng số chứng khoán đăng ký:,1.440.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,14.400.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
