Keys,Values
Tên TCPH:,"
Công ty cổ phần Nông nghiệp và Thực phẩm Hà Nội – Kinh Bắc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nông nghiệp và Thực phẩm Hà Nội – Kinh Bắc
Mã chứng khoán:,HKB
Mã ISIN:,VN000000HKB6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 12/2015/GCNCP-VSD do VSD cấp ngày 03/03/2015, số 12/2015/GCNCP-VSD-1 cấp thay đổi lần thứ 1 ngày 15/06/2016"
Tổng số chứng khoán đăng ký:,51.599.999 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,515.999.990.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
