Keys,Values
Tên TCPH:,"
Công ty CP Tập đoàn Hoàng Long
"
Tên chứng khoán:,Cổ phiếu CTCP Tập đoàn Hoàng Long
Mã chứng khoán:,HLG
Mã ISIN:,VN000000HLG3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 12/2009/GCNCP-CNVSD-2 đăng ký lần đầu ngày 16/03/2009, đăng ký thay đổi lần 2 ngày 20/12/2010"
Tổng số chứng khoán đăng ký:,44.375.385 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,443.753.850.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
