Keys,Values
Tên TCPH:,"
Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai
Mã chứng khoán:,HNG
Mã ISIN:,VN000000HNG9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 54/2015/GCNCP-VSD do VSD cấp ngày 07/7/2015, Số 54/2015/GCNCP-VSD-3 cấp lại lần 03 ngày 23/08/2019"
Tổng số chứng khoán đăng ký:,1.108.553.895 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,11.085.538.950.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
