Keys,Values
Tên TCPH:,"
Công ty cổ phần TV-TM-DV Địa ốc Hoàng Quân Mê Kông
"
Tên chứng khoán:,Cổ phiếu CTCP TV-TM-DV Địa ốc Hoàng Quân Mê Kông
Mã chứng khoán:,HQM
Mã ISIN:,VN000000HQM0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,07/2012/GCNCP-VSD do VSD cấp ngày 14/03/2012
Tổng số chứng khoán đăng ký:,32.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,320.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
