Keys,Values
Tên TCPH:,"
Công ty Cổ phần Cao Su Hoà Bình
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Cao Su Hoà Bình
Mã chứng khoán:,HRC
Mã ISIN:,VN000000HRC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 89/2006/GCNCP-CNTTLK do VSD cấp ngày 22/12/2006, Số 89/2006/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 18/08/2016"
Tổng số chứng khoán đăng ký:,30.206.622 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,302.066.220.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
