Keys,Values
Tên TCPH:,"
Công ty cổ phần tập đoàn Hoa Sen
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần tập đoàn Hoa Sen
Mã chứng khoán:,HSG
Mã ISIN:,VN000000HSG8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 107/2008/GCNCP-CNTTLK  do TTLKCK Việt Nam cấp ngày 30/10/2008, số 107/2008/GCNCP-VSD-12 cấp thay đổi lần thứ 12 ngày 06/10/2021"
Tổng số chứng khoán đăng ký:,493.481.896 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,4.934.818.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
