Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
Mã chứng khoán:,HTE
Mã ISIN:,VN000000HTE1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 121/2017/GCNCP-VSD do VSD cấp ngày 15/06/2017
Tổng số chứng khoán đăng ký:,23.608.165 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,236.081.650.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
