Keys,Values
Tên TCPH:,"
Công ty cổ phần in sách giáo khoa Hòa Phát
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần in sách giáo khoa Hòa Phát
Mã chứng khoán:,HTP
Mã ISIN:,VN000000HTP7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 25/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 08/12/2006, Số  25/2006/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 29/01/2021"
Tổng số chứng khoán đăng ký:,91.804.980 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,918.049.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
