Keys,Values
Tên TCPH:,"
Công ty Cổ phần Xây lắp Thừa Thiên Huế
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Xây lắp Thừa Thiên Huế
Mã chứng khoán:,HUB
Mã ISIN:,VN000000HUB5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số: 203/2017/GCNCP-VSD do VSD cấp ngày 30/10/2017; số 203/2017/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 17/12/2020
Tổng số chứng khoán đăng ký:,19.057.316 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,190.573.160.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
