Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản Thừa Thiên Huế
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản Thừa Thiên Huế
Mã chứng khoán:,HUX
Mã ISIN:,VN000000HUX9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 35/2020/GCNCP-VSD do VSD cấp ngày 20/05/2020
Tổng số chứng khoán đăng ký:,11.338.648 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,113.386.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
