Keys,Values
Tên TCPH:,"
Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc
Mã chứng khoán:,IDV
Mã ISIN:,VN000000IDV7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 119/2010/GCNCP-VSD do VSD cấp lần đầu ngày 17/05/2010; Số 119/2010/GCNCP-VSD-11 cấp thay đổi lần 11 ngày 30/03/2022
Tổng số chứng khoán đăng ký:,25.227.906 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,252.279.060.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
