Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế
Mã chứng khoán:,ILS
Mã ISIN:,VN000000ILS6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 10/2018/GCNCP-VSD do VSD cấp ngày 28/02/2018
Tổng số chứng khoán đăng ký:,36.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,360.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
