Keys,Values
Tên TCPH:,"
Công ty cổ phần Viện máy và Dụng cụ Công nghiệp
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Viện máy và Dụng cụ Công nghiệp
Mã chứng khoán:,IMI
Mã ISIN:,VN000000IMI5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 29/2020/GCNCP-VSD do VSD cấp ngày 06/05/2020
Tổng số chứng khoán đăng ký:,3.750.975 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,37.509.750.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
