Keys,Values
Tên TCPH:,"
Công ty cổ phần Thủy điện Srok Phu Miêng IDICO
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thủy điện Srok Phu Miêng IDICO
Mã chứng khoán:,ISH
Mã ISIN:,VN000000ISH4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 25/2015/GCNCP-VSD do VSD cấp ngày 27/4/2015
Tổng số chứng khoán đăng ký:,45.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,450.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
