Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Thiên Quang
"
Tên chứng khoán:,Cổ phiếu CTCP Tập đoàn Thiên Quang
Mã chứng khoán:,ITQ
Mã ISIN:,VN000000ITQ3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 11/2012/GCNCP-VSD do VSD cấp lần đầu ngày 10/05/2012, Số 11/2012/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 09/03/2022"
Tổng số chứng khoán đăng ký:,31.843.305 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,318.433.050.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
