Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Xây dựng Cầu đường Hà Nội
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và Xây dựng Cầu đường Hà Nội
Mã chứng khoán:,JSC
Mã ISIN:,VN000000JSC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 72/2010/GCNCP-VSD do VSD cấp lần đầu ngày 23/03/2010
Tổng số chứng khoán đăng ký:,1.550.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
