Keys,Values
Tên TCPH:,"
Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
"
Tên chứng khoán:,Trái phiếu Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
Mã chứng khoán:,KBC12006
Mã ISIN:,VN0KBC120069
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 30/2020/GCNTP-VSD do VSD cấp lần đầu ngày 24/09/2020
Tổng số chứng khoán đăng ký:,4.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,400.000.000.000 đồng
Hình thức phát hành:,Trái phiếu được phát hành ra công chúng 
Lãi suất:,Cố định 11%/năm
Cách thức trả lãi:,"Trả định kỳ 06 tháng/lần, tính từ ngày phát hành."
Kỳ hạn:,18 tháng
Ngày phát hành:,28/07/2020
Ngày đáo hạn:,28/01/2022
Nơi quản lý tại VSD:,Trụ sở chính
