Keys,Values
Tên TCPH:,"
Công ty cổ phần DAMAC GLS
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần DAMAC GLS
Mã chứng khoán:,KSH
Mã ISIN:,VN000000KSH0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 102/2008/GCNCP-CNTTLK do VSD cấp lần đầu ngày 21/10/2008, số 102/2008/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 10/9/2019"
Tổng số chứng khoán đăng ký:,57.509.675 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,575.096.750.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
