Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản luyện kim màu
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản luyện kim màu
Mã chứng khoán:,KSK
Mã ISIN:,VN000000KSK4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 04/2013/GCNCP-VSD do VSD cấp lần đầu ngày 01/03/2013, số 04/2013/GCNCP-VSD-1 thay đổi lần thứ 1 ngày 19/5/2015"
Tổng số chứng khoán đăng ký:,23.888.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,238.880.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
