Keys,Values
Tên TCPH:,"
Công ty Cổ phần KASATI
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần KASATI
Mã chứng khoán:,KST
Mã ISIN:,VN000000KST5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 228/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 23/09/2010; số 228/2010/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 18/02/2022
Tổng số chứng khoán đăng ký:,5.992.020 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,59.920.200.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
