Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Khoáng sản Tây Bắc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Khoáng sản Tây Bắc
Mã chứng khoán:,KTB
Mã ISIN:,VN000000KTB1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 230/2010/GCNCP-VSD do VSD cấp lần đầu ngày 23/09/2010, Số 230/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 05/09/2014"
Tổng số chứng khoán đăng ký:,40.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,402.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
