Keys,Values
Tên TCPH:,"
Công ty cổ phần Licogi 12
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Licogi 12
Mã chứng khoán:,L12
Mã ISIN:,VN000000L128
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 181/2016/GCNCP-VSD do VSD cấp lần đầu ngày 09/12/2016, Số 181/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 11/10/2017"
Tổng số chứng khoán đăng ký:,7.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,70.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ 
Nơi quản lý tại VSD:,Trụ sở chính
