Keys,Values
Tên TCPH:,"
CTCP Sách và Thiết bị trường học Long An
"
Tên chứng khoán:,Cổ phiếu CTCP Sách và Thiết bị trường học Long An
Mã chứng khoán:,LBE
Mã ISIN:,VN000000LBE1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 11/2008/GCNCP-TTLK do TTLKCK Việt Nam cấp ngày 16/01/2008
Tổng số chứng khoán đăng ký:,1.100.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,11.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
