Keys,Values
Tên TCPH:,"
CTCP Dược Lâm Đồng - Ladophar
"
Tên chứng khoán:,Cổ phiếu CTCP Dược Lâm Đồng - Ladophar
Mã chứng khoán:,LDP
Mã ISIN:,VN000000LDP3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 141/2010/GCNCP-VSD-2 do TTLKCK Việt Nam cấp lần đầu ngày 24/06/2010,  số 141/2010/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 16/10/2020"
Tổng số chứng khoán đăng ký:,12.703.167 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,127.031.670.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
