Keys,Values
Tên TCPH:,"
Công ty cổ phần Bột giặt LIX
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bột giặt LIX
Mã chứng khoán:,LIX
Mã ISIN:,VN000000LIX6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 107/2009/GCNCP-CNVSD do TTLKCK Việt Nam cấp lần đầu ngày 27/11/2009, số 107/2009/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 10/08/2016"
Tổng số chứng khoán đăng ký:,32.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,324.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
