Keys,Values
Tên TCPH:,"
Công ty cổ phần Lilama 5
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Lilama 5
Mã chứng khoán:,LO5
Mã ISIN:,VN000000LO52
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 98 /2009/GCNCP-VSD do VSD cấp lần đầu ngày 04/12/2009, Số 98 /2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 14/07/2016"
Tổng số chứng khoán đăng ký:,5.149.791 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,51.497.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
