Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp nước tỉnh Lào Cai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp nước tỉnh Lào Cai
Mã chứng khoán:,LWS
Mã ISIN:,VN000000LWS7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 40/2017/GCNCP-VSD do VSD cấp lần đầu ngày 06/02/2017, Số: 40/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 09/04/2018"
Tổng số chứng khoán đăng ký:,17.717.665 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,177.176.650.000 đồng
Hình thức đăng ký:, Ghi sổ 
Nơi quản lý tại VSD:,Trụ sở chính
