Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Kinh doanh và Xây dựng 126
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Kinh doanh và Xây dựng 126
Mã chứng khoán:,M26
Mã ISIN:,VN000000M266
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 129/2015/GCNCP-VSD do VSD cấp ngày 28/12/2015 
Tổng số chứng khoán đăng ký:,11.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,110.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
