Keys,Values
Tên TCPH:,"
Công ty TNHH Quản Lý Quỹ MANULIFE Việt Nam
"
Tên chứng khoán:,Chứng chỉ quỹ đầu tư tăng trưởng Manulife
Mã chứng khoán:,MAFPF1
Mã ISIN:,VN000MAFPF14
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,"số 03/2007/GCNCCQ-CNTTLK do TTLKCK VN cấp ngày 19/12/2007
"
Tổng số chứng khoán đăng ký:,21.409.530 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,214.095.300.000 đồng
Hình thức đăng ký:,
Nơi quản lý tại VSD:,Chi nhánh
