Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Xây dựng BDC Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Xây dựng BDC Việt Nam
Mã chứng khoán:,MCO
Mã ISIN:,VN000000MCO6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 16/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 01/12/2006, Số 16/2006/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 11/8/2015"
Tổng số chứng khoán đăng ký:,4.103.929 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,41.039.290.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
