Keys,Values
Tên TCPH:,"
Công ty cổ phần Thi Công cơ giới Xây lắp
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thi Công cơ giới Xây lắp
Mã chứng khoán:,MCS
Mã ISIN:,VN000000MCS7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"số 159 /2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 08/07/2010, số 159 /2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 11/12/2012"
Tổng số chứng khoán đăng ký:,3.680.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,36.800.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
