Keys,Values
Tên TCPH:,"
Công ty cổ phần Kinh doanh Vật tư và Xây dựng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Kinh doanh Vật tư và Xây dựng
Mã chứng khoán:,MCT
Mã ISIN:,VN000000MCT5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 180/2016/GCNCP-VSD do VSD cấp lần đầu ngày08/12/2016
Tổng số chứng khoán đăng ký:,2.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,25.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
