Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường đô thị Phú Yên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường đô thị Phú Yên
Mã chứng khoán:,MPY
Mã ISIN:,VN000000MPY7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 76/2017/GCNCP-VSD do VSD cấp lần đầu ngày 10/04/2017
Tổng số chứng khoán đăng ký:,6.143.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,61.430.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
