Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và  Phát triển đô thị Quảng Bình
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Phát triển đô thị Quảng Bình
Mã chứng khoán:,MQB
Mã ISIN:,VN000000MQB3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 164/2017/GCNCP-VSD do VSD cấp ngày 22/08/2017
Tổng số chứng khoán đăng ký:,3.675.675 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,36.756.750.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
