Keys,Values
Tên TCPH:,"
Công ty Cổ phần Masan High-Tech Materials
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Masan High-Tech Materials
Mã chứng khoán:,MSR
Mã ISIN:,VN000000MSR5
Loại chứng khoán:,Cổ phiếu phổ thông 
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 76 /2015/GCNCP-VSD do VSD cấp ngày 10/09/2015,  số 76/2015/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 09/12/2020"
Tổng số chứng khoán đăng ký:,1.099.155.420 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,10.991.554.200.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
