Keys,Values
Tên TCPH:,"
Công ty cổ phần Mỏ và Xuất nhập khẩu Khoáng sản Miền Trung
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Mỏ và Xuất nhập khẩu Khoáng sản Miền Trung
Mã chứng khoán:,MTM
Mã ISIN:,VN000000MTM4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 05/2015/GCNCP-VSD do VSD cấp ngày 20/01/2015 
Tổng số chứng khoán đăng ký:,31.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,310.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
